frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
1,16,0.577,1.73,576.44,-0.03,0.0087,0,0,0,0,16,70,
2,17,0.693,2.42,115.29,-0.03,0.0174,0,0,0,0,16,68,
3,19,0.926,2.61,87.16,-0.03,0.0261,0,0,0,0,16,68,
4,20,1.035,3.26,109.25,-0.03,0.0348,0,0,0,0,16,69,
5,22,1.305,3.31,106.45,-0.03,-0.0264,0,0,0,0,16,65,
6,23,1.405,3.98,99.61,-0.03,-0.0177,0,0,0,0,16,66,
7,24,1.614,4.06,91.35,-0.03,-0.009,0,0,0,0,16,70,
8,25,1.707,4.74,92.2,-0.03,-0.0003,0,0,0,0,16,69,
9,27,1.931,4.71,81.15,-0.03,0.0084,0,0,0,0,16,69,
10,28,2.016,5.41,85.45,-0.03,0.0171,0,0,0,0,16,67,
11,29,2.2,5.41,80.17,-0.03,0.0258,0,0,0,0,16,66,
12,30,2.288,6,87.94,-0.03,0.0345,0,0,0,0,16,67,
13,32,2.48,5.93,76.64,-0.03,-0.0266,0,0,0,0,16,69,
14,33,2.552,6.71,72.37,-0.03,-0.0179,0,0,0,0,16,70,
15,34,2.752,6.54,86.36,-0.03,-0.0092,0,0,0,0,16,69,
16,35,2.829,7.2,76.22,-0.03,-0.0006,0,0,0,0,16,67,
17,37,3.022,6.99,76.5,-0.03,0.0081,0,0,0,0,16,66,
18,38,3.092,7.72,70.07,-0.03,0.0168,0,0,0,0,16,70,
19,39,3.291,7.45,89.46,-0.03,0.0255,0,0,0,0,16,65,
20,40,3.371,7.96,79.49,-0.03,0.0342,0,0,0,0,16,64,
21,42,3.559,7.7,73.03,-0.03,-0.0269,0,0,0,0,16,66,
22,43,3.63,8.32,71.57,-0.03,-0.0182,0,0,0,0,16,66,
23,44,3.816,8.02,73.37,-0.03,-0.0095,0,0,0,0,16,67,
24,45,3.898,8.44,81.89,-0.03,-0.0008,0,0,0,0,16,66,
25,47,4.087,8.13,73.22,-0.03,0.0079,0,0,0,0,16,66,
26,47,4.152,8.83,65.49,-0.03,0.0166,0,0,0,0,16,66,
27,49,4.349,8.46,75.68,-0.03,0.0252,0,0,0,0,16,63,
28,50,4.425,8.94,75.48,-0.03,0.0339,0,0,0,0,16,67,
29,51,4.598,8.62,55.88,-0.03,-0.0272,0,0,0,0,16,63,
30,52,4.671,9.13,72.6,-0.03,-0.0185,0,0,0,0,16,67,
31,54,4.869,8.72,74.56,-0.03,-0.0098,0,0,0,0,16,66,
