frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
76,120,14.973,7.53,86.3,0.3,0.0323,0,0,0,0,16,67,on_bump
77,121,15.315,7.07,135.16,0.3,-0.0288,0,0,0,0,16,70,on_bump
78,122,15.456,7.07,140.28,0.3,-0.0201,0,0,0,0,16,70,on_bump
79,124,15.839,6.62,152.68,0.3,-0.0114,0,0,0,0,16,70,on_bump
80,125,15.991,6.62,151.76,0.3,-0.0028,0,0,0,0,16,70,on_bump
81,127,16.433,6.18,185.79,0.3,0.0059,0,0,0,0,16,70,on_bump
82,128,16.603,6.15,169.58,0.3,0.0146,0,0,0,0,16,70,on_bump
83,130,17.039,5.77,154.21,0.3,0.0233,0,0,0,0,16,70,on_bump
84,131,17.228,5.72,188.55,0.3,0.032,0,0,0,0,16,70,on_bump
85,132,17.631,5.4,171.63,0.3,-0.0291,0,0,0,0,16,70,on_bump
86,133,17.768,5.59,134.46,0.3,-0.0204,0,0,0,0,16,70,on_bump
87,135,18.12,5.31,132.18,0.3,-0.0117,0,0,0,0,16,69,on_bump
88,136,18.225,5.74,104.56,0.3,-0.003,0,0,0,0,16,70,on_bump
89,138,18.519,5.5,119.01,0.3,0.0057,0,0,0,0,16,70,on_bump
90,139,18.626,5.89,106.73,0.3,0.0144,0,0,0,0,16,70,on_bump
91,140,18.859,5.73,106.48,0.3,0.023,0,0,0,0,16,70,on_bump
92,141,18.976,6.01,117.55,0.3,0.0317,0,0,0,0,16,70,on_bump
93,143,19.281,5.73,113.43,0.3,-0.0294,0,0,0,0,16,70,on_bump
94,144,19.393,6.05,112.45,0.3,-0.0207,0,0,0,0,16,70,on_bump
95,146,19.637,5.85,106.23,0.3,-0.012,0,0,0,0,16,70,on_bump
96,147,19.742,6.22,104.9,0.3,-0.0033,0,0,0,0,16,70,on_bump
97,148,19.962,6.05,93.89,0.3,0.0054,0,0,0,0,16,70,on_bump
98,149,20.087,6.25,124.71,0.3,0.0141,0,0,0,0,16,70,on_bump
99,151,20.319,6.06,91.48,0.3,0.0228,0,0,0,0,16,70,on_bump
100,152,20.44,6.27,121.12,0.3,0.0315,0,0,0,0,16,70,on_bump
101,153,20.644,6.14,82.64,0.3,-0.0297,0,0,0,0,16,70,on_bump
102,154,20.726,6.74,81.99,0.3,-0.021,0,0,0,0,16,70,on_bump
103,156,20.934,6.55,80.74,0.3,-0.0123,0,0,0,0,16,70,on_bump
104,157,21.011,7.2,76.53,0.3,-0.0036,0,0,0,0,16,70,on_bump
105,158,21.254,6.89,101.88,0.3,0.0051,0,0,0,0,16,70,on_bump
106,159,21.349,7.26,93.94,0.3,0.0138,0,0,0,0,16,70,on_bump
107,161,21.569,6.99,90.52,0.3,0.0225,0,0,0,0,16,70,on_bump
108,162,21.695,7.09,125.1,0.3,0.0312,0,0,0,0,16,70,on_bump
109,163,21.967,6.75,127.09,0.3,-0.0299,0,0,0,0,16,70,on_bump
110,164,22.106,6.79,138.05,0.3,-0.0212,0,0,0,0,16,70,on_bump
111,166,22.36,6.51,76.91,0.3,-0.0126,0,0,0,0,16,70,on_bump
112,166,22.429,7.29,69.54,0.3,-0.0039,0,0,0,0,16,70,on_bump
113,168,22.638,7.04,74.89,0.3,0.0048,0,0,0,0,16,70,
114,169,22.726,7.48,87.68,0.3,0.0135,0,0,0,0,16,70,
115,170,23.043,7.04,141.7,0.3,0.0222,0,0,0,0,16,70,
116,171,23.172,7.11,128.71,0.3,0.0309,0,0,0,0,16,70,
117,173,23.425,6.8,103.49,0.3,-0.0302,0,0,0,0,16,70,on_bump
118,174,23.547,6.94,121.99,0.3,-0.0215,0,0,0,0,16,70,on_bump
119,176,23.777,6.68,86.52,0.3,-0.0128,0,0,0,0,16,70,on_bump
120,177,23.873,7.05,95.78,0.3,-0.0041,0,0,0,0,16,70,on_bump
121,178,24.075,6.84,91.19,0.3,0.0046,0,0,0,0,16,70,
122,179,24.178,7.12,103.28,0.3,0.0132,0,0,0,0,16,70,on_bump
