frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
82,109,12.268,8.25,77.37,0.3,0.0146,0,0,0,0,16,63,
83,111,12.477,7.91,73.15,0.3,0.0233,0,0,0,0,16,62,
84,112,12.554,8.41,76.99,0.3,0.032,0,0,0,0,16,64,
85,113,12.739,8.11,75.91,0.3,-0.0291,0,0,0,0,16,62,
86,114,12.807,8.77,67.98,0.3,-0.0204,0,0,0,0,16,62,
87,116,12.985,8.45,63.09,0.3,-0.0117,0,0,0,0,16,62,
88,117,13.067,8.83,81.73,0.3,-0.003,0,0,0,0,16,63,
89,118,13.25,8.49,73.38,0.3,0.0057,0,0,0,0,16,63,
90,119,13.327,8.94,76.83,0.3,0.0144,0,0,0,0,16,61,
91,121,13.517,8.57,74.02,0.3,0.023,0,0,0,0,16,64,
92,122,13.596,8.98,78.8,0.3,0.0317,0,0,0,0,16,63,
93,124,13.786,8.61,88.73,0.3,-0.0294,0,0,0,0,16,70,
94,125,13.865,9.01,78.89,0.3,-0.0207,0,0,0,0,16,66,
95,126,14.056,8.63,82.85,0.3,-0.012,0,0,0,0,16,64,
96,127,14.152,8.81,95.81,0.3,-0.0033,0,0,0,0,16,65,
97,159,17.18,7.96,1739.27,0.3,0.0054,0,0,0,0,16,62,
98,159,17.273,8.24,93.1,0.3,0.0141,0,0,0,0,16,61,
99,161,17.465,7.94,68.08,0.3,0.0228,0,0,0,0,16,63,
100,161,17.529,8.71,63.23,0.3,0.0315,0,0,0,0,16,63,
101,163,17.72,8.36,76.28,0.3,-0.0297,0,0,0,0,16,64,
102,164,17.799,8.79,78.48,0.3,-0.021,0,0,0,0,16,66,
103,166,18.026,8.35,84.1,0.3,-0.0123,0,0,0,0,16,60,
104,167,18.095,8.96,69.24,0.3,-0.0036,0,0,0,0,16,65,
105,168,18.278,8.61,74.38,0.3,0.0051,0,0,0,0,16,63,
106,169,18.353,9.08,74.91,0.3,0.0138,0,0,0,0,16,65,
107,170,18.531,8.74,62.46,0.3,0.0225,0,0,0,0,16,65,
108,171,18.6,9.31,67.03,0.3,0.0312,0,0,0,0,16,63,
109,173,18.828,8.82,91.96,0.3,-0.0299,0,0,0,0,16,65,
110,174,18.93,8.92,101.08,0.3,-0.0212,0,0,0,0,16,67,
111,175,19.154,8.48,81.89,0.3,-0.0126,0,0,0,0,16,64,
112,176,19.272,8.48,117.57,0.3,-0.0039,0,0,0,0,16,66,
113,178,19.722,7.85,250.47,0.3,0.0048,0,0,0,0,16,64,
114,179,19.884,7.68,152.56,0.3,0.0135,0,0,0,0,16,62,
115,181,20.27,7.18,141.92,0.3,0.0222,0,0,0,0,16,64,
116,182,20.369,7.47,98.14,0.3,0.0309,0,0,0,0,16,64,
117,183,20.58,7.2,52.86,0.3,-0.0302,0,0,0,0,16,61,
118,184,20.649,7.94,68.23,0.3,-0.0215,0,0,0,0,16,61,
119,185,20.847,7.65,75.23,0.3,-0.0128,0,0,0,0,16,64,
120,186,20.933,8.05,85.64,0.3,-0.0041,0,0,0,0,16,65,
121,188,21.136,7.74,77.32,0.3,0.0046,0,0,0,0,16,61,
122,189,21.229,8.04,93.01,0.3,0.0132,0,0,0,0,16,63,
123,191,21.432,7.73,78.85,0.3,0.0219,0,0,0,0,16,62,
124,191,21.51,8.24,77.83,0.3,0.0306,0,0,0,0,16,62,
125,193,21.743,7.84,107.56,0.3,-0.0305,0,0,0,0,16,64,
126,194,21.886,7.76,142.77,0.3,-0.0218,0,0,0,0,16,63,
127,196,22.171,7.33,130.34,0.3,-0.0131,0,0,0,0,16,62,
128,197,22.271,7.6,99.38,0.3,-0.0044,0,0,0,0,16,63,
129,198,22.541,7.21,129.86,0.3,0.0043,0,0,0,0,16,63,
130,199,22.623,7.7,82.56,0.3,0.013,0,0,0,0,16,64,
131,201,22.938,7.25,118.44,0.3,0.0217,0,0,0,0,16,64,
132,202,23.027,7.65,88.61,0.3,0.0304,0,0,0,0,16,63,
133,203,23.317,7.23,93.38,0.3,-0.0308,0,0,0,0,16,63,
134,204,23.417,7.5,100.24,0.3,-0.0221,0,0,0,0,16,67,
135,206,23.661,7.16,104.28,0.3,-0.0134,0,0,0,0,16,62,
136,206,23.782,7.27,121.05,0.3,-0.0047,0,0,0,0,16,65,
137,208,24.035,6.94,92.31,0.3,0.004,0,0,0,0,16,61,
138,209,24.141,7.19,105.9,0.3,0.0127,0,0,0,0,16,62,
139,211,24.411,6.84,98.31,0.3,0.0214,0,0,0,0,16,61,
140,211,24.514,7.13,102.17,0.3,0.0301,0,0,0,0,16,63,
141,213,24.719,6.91,76.95,0.3,-0.031,0,0,0,0,16,64,
142,214,24.809,7.33,89.94,0.3,-0.0223,0,0,0,0,16,61,
143,215,25.039,7.03,124.5,0.3,-0.0137,0,0,0,0,16,63,
144,216,25.144,7.28,103.61,0.3,-0.005,0,0,0,0,16,63,
145,218,25.375,6.98,88.51,0.3,0.0037,0,0,0,0,16,62,
146,219,25.459,7.47,83.89,0.3,0.0124,0,0,0,0,16,65,
147,220,25.644,7.27,70.1,0.3,0.0211,0,0,0,0,16,63,
148,220,25.7,8.31,56.4,0.3,0.0298,0,0,0,0,16,67,
149,222,25.913,7.95,83.03,0.3,-0.0313,0,0,0,0,16,61,
150,223,26.001,8.29,87.42,0.3,-0.0226,0,0,0,0,16,63,
151,224,26.182,8.02,76.41,0.3,-0.0139,0,0,0,0,16,66,
152,225,26.266,8.4,84.15,0.3,-0.0052,0,0,0,0,16,66,
153,227,26.477,8.03,85.12,0.3,0.0035,0,0,0,0,16,62,
154,228,26.559,8.44,81.98,0.3,0.0121,0,0,0,0,16,61,
155,229,26.773,8.07,85.89,0.3,0.0208,0,0,0,0,16,63,
156,230,26.864,8.36,91,0.3,0.0295,0,0,0,0,16,63,
157,232,27.078,7.99,83.9,0.3,-0.0316,0,0,0,0,16,63,
158,233,27.204,7.99,125.58,0.3,-0.0229,0,0,0,0,16,64,
159,234,27.433,7.62,92.05,0.3,-0.0142,0,0,0,0,16,60,
160,235,27.51,8.16,76.71,0.3,-0.0055,0,0,0,0,16,60,
161,236,27.688,7.91,52.55,0.3,0.0032,0,0,0,0,16,64,
162,237,27.763,8.45,74.63,0.3,0.0119,0,0,0,0,16,64,
