frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
1,15,0.496,2.02,494.91,0.300,0.0087,0.000,0.000,0.00,0.000,16.000,60,on_bump
2,16,0.607,2.71,111.47,0.300,0.0174,0.000,0.000,0.00,0.000,16.000,60,on_bump
3,18,0.886,2.80,87.66,0.300,0.0261,0.000,0.000,0.00,0.000,16.000,60,on_bump
4,19,0.972,3.69,85.10,0.300,0.0348,0.000,0.000,0.00,0.000,16.000,61,on_bump
5,21,1.223,3.72,101.14,0.300,-0.0264,0.000,0.000,0.00,0.000,16.000,68,on_bump
6,22,1.323,4.35,99.72,0.300,-0.0177,0.000,0.000,0.00,0.000,16.000,62,on_bump
7,23,1.541,4.37,91.99,0.300,-0.0090,0.000,0.000,0.00,0.000,16.000,63,on_bump
8,24,1.645,4.89,104.25,0.300,-0.0003,0.000,0.000,0.00,0.000,16.000,63,on_bump
9,26,1.906,4.79,107.74,0.300,0.0084,0.000,0.000,0.00,0.000,16.000,60,on_bump
10,27,2.019,5.20,112.16,0.300,0.0171,0.000,0.000,0.00,0.000,16.000,63,on_bump
11,29,2.272,5.07,106.59,0.300,0.0258,0.000,0.000,0.00,0.000,16.000,60,on_bump
12,29,2.385,5.45,113.23,0.300,0.0345,0.000,0.000,0.00,0.000,16.000,62,on_bump
13,31,2.921,5.09,313.01,0.300,-0.0266,0.000,0.000,0.00,0.000,16.000,61,on_bump
14,32,3.098,5.14,175.97,0.300,-0.0179,0.000,0.000,0.00,0.000,16.000,61,on_bump
15,34,3.470,4.90,101.33,0.300,-0.0092,0.000,0.000,0.00,0.000,16.000,62,on_bump
16,34,3.576,5.35,105.94,0.300,-0.0006,0.000,0.000,0.00,0.000,16.000,60,on_bump
17,36,3.819,5.23,75.14,0.300,0.0081,0.000,0.000,0.00,0.000,16.000,60,on_bump
18,37,3.902,5.92,81.98,0.300,0.0168,0.000,0.000,0.00,0.000,16.000,60,on_bump
19,38,4.120,5.79,90.52,0.300,0.0255,0.000,0.000,0.00,0.000,16.000,60,on_bump
20,39,4.233,6.09,113.11,0.300,0.0342,0.000,0.000,0.00,0.000,16.000,61,on_bump
21,41,4.596,5.76,148.32,0.300,-0.0269,0.000,0.000,0.00,0.000,16.000,60,on_bump
22,41,4.718,6.01,117.67,0.300,-0.0182,0.000,0.000,0.00,0.000,16.000,61,on_bump
23,43,5.028,5.73,112.73,0.300,-0.0095,0.000,0.000,0.00,0.000,16.000,61,on_bump
24,44,5.116,6.30,87.48,0.300,-0.0008,0.000,0.000,0.00,0.000,16.000,60,on_bump
25,46,5.334,6.12,84.58,0.300,0.0079,0.000,0.000,0.00,0.000,16.000,60,on_bump
26,47,5.415,6.74,80.39,0.300,0.0166,0.000,0.000,0.00,0.000,16.000,61,on_bump
27,48,5.644,6.50,89.12,0.300,0.0252,0.000,0.000,0.00,0.000,16.000,60,on_bump
28,49,5.738,6.91,93.91,0.300,0.0339,0.000,0.000,0.00,0.000,16.000,61,on_bump
29,50,5.942,6.71,85.87,0.300,-0.0272,0.000,0.000,0.00,0.000,16.000,60,on_bump
30,51,6.026,7.23,83.79,0.300,-0.0185,0.000,0.000,0.00,0.000,16.000,60,on_bump
31,53,6.241,6.97,75.30,0.300,-0.0098,0.000,0.000,0.00,0.000,16.000,61,on_bump
32,53,6.324,7.48,82.97,0.300,-0.0011,0.000,0.000,0.00,0.000,16.000,61,on_bump
33,55,6.543,7.19,84.92,0.300,0.0076,0.000,0.000,0.00,0.000,16.000,61,on_bump
34,56,6.631,7.60,88.00,0.300,0.0163,0.000,0.000,0.00,0.000,16.000,61,on_bump
35,58,6.868,7.27,90.96,0.300,0.0250,0.000,0.000,0.00,0.000,16.000,61,on_bump
36,58,6.945,7.84,76.82,0.300,0.0337,0.000,0.000,0.00,0.000,16.000,61,on_bump
37,60,7.156,7.53,74.98,0.300,-0.0275,0.000,0.000,0.00,0.000,16.000,61,on_bump
38,61,7.243,7.93,86.34,0.300,-0.0188,0.000,0.000,0.00,0.000,16.000,61,on_bump
